query_id,query_text,min_length,spearman_cosine_hybrid,spearman_cosine_taumode,spearman_hybrid_taumode,kendall_cosine_hybrid,kendall_cosine_taumode,kendall_hybrid_taumode,ndcg_hybrid_vs_cosine,ndcg_taumode_vs_cosine,ndcg_taumode_vs_hybrid
1,directory traversal in backup restore endpoint,25,0.357143,0.500000,0.318681,0.333333,0.333333,0.186813,0.821992,0.446455,0.931392
2,improper signature verification in software update channel,25,-1.000000,0.000000,0.685294,-1.000000,0.000000,0.550000,0.479228,0.000000,0.957132
3,stack-based buffer overflow in DHCP client,25,0.999231,0.996522,0.997391,0.993333,0.978261,0.985507,0.999887,0.999495,0.999635
4,local privilege escalation via race condition in kernel,25,0.746047,0.992095,0.997391,0.802372,0.948052,0.978261,0.978099,0.999554,0.999842
5,stored cross-site scripting XSS in user profile page,25,0.000000,0.000000,0.636739,0.000000,0.000000,0.490196,0.356207,0.000000,0.951972
6,heap buffer overflow in image processing library,25,1.000000,0.997391,0.997391,1.000000,0.985507,0.985507,1.000000,0.999922,0.999923
7,use-after-free vulnerability in browser rendering engine,25,0.000000,0.000000,0.632353,0.000000,0.000000,0.450000,1.000000,0.000000,0.938160
8,improper access control in REST API DELETE method,25,0.000000,0.000000,0.330882,0.000000,0.000000,0.235294,0.000000,0.000000,0.937747
9,format string vulnerability in logging daemon,25,-0.771429,1.000000,0.485714,-0.600000,1.000000,0.340659,0.681291,0.678762,0.949965
10,SQL injection in login endpoint,25,0.983060,0.998701,0.999130,0.956710,0.990476,0.992754,0.990395,0.999957,0.999961
11,LDAP injection in enterprise directory search feature,25,0.996612,0.988707,0.997391,0.982684,0.965368,0.985507,0.999903,0.999634,0.999890
12,race condition in temporary file creation,25,1.000000,0.999012,0.999130,1.000000,0.992095,0.992754,1.000000,0.999955,0.999958
13,improper neutralization of CRLF in mail gateway,25,0.900000,0.000000,0.681818,0.800000,0.000000,0.527273,0.877656,0.000000,0.964346
14,NoSQL injection in user search API,25,0.000000,0.000000,0.555882,0.000000,0.000000,0.433333,0.278943,0.000000,0.961164
15,prototype pollution in Node.js configuration merge utility,25,0.931304,0.997036,0.998261,0.905797,0.976285,0.985507,0.991945,0.999502,0.999550
16,host header injection in password reset workflow,25,0.998024,0.996047,0.996923,0.984190,0.976285,0.980000,0.999881,0.999712,0.999869
17,heap use-after-free in media streaming server,25,0.000000,0.000000,0.440559,0.000000,0.000000,0.303030,0.000000,0.000000,0.940173
18,hardcoded credentials in firmware update mechanism,25,0.608791,1.000000,0.750000,0.560440,1.000000,0.555556,0.888731,0.901514,0.969093
19,unsafe deserialization in Java RMI service,25,0.998024,0.997036,0.998261,0.984190,0.976285,0.985507,0.999943,0.999828,0.999910
20,cross-tenant data exposure in multi-tenant storage service,25,0.000000,0.000000,0.900000,0.000000,0.000000,0.716667,0.278943,0.000000,0.979626
21,double free vulnerability in archive extraction library,25,0.998261,0.990909,0.538462,0.985507,0.963636,0.666667,0.997448,0.593197,0.647606
22,memory disclosure via uninitialized stack buffer,25,1.000000,0.000000,0.332143,1.000000,0.000000,0.200000,1.000000,1.000000,0.925550
23,command injection in router web administration interface,25,0.200000,0.000000,-0.133333,0.000000,0.000000,-0.111111,0.304395,0.000000,0.828613
24,authenticated arbitrary file read path traversal,25,0.500000,-1.000000,0.538462,0.333333,-1.000000,0.454545,0.688038,0.359043,0.952612
25,insecure direct object reference IDOR in invoice download,25,0.000000,0.000000,0.846154,0.000000,0.000000,0.670330,0.630930,0.000000,0.970206
26,remote code execution in ERP web component,25,1.000000,0.997549,0.998261,1.000000,0.985294,0.985507,1.000000,0.999902,0.999855
27,authentication bypass via JWT token manipulation,25,0.990966,0.000000,-0.500000,0.956710,0.000000,-0.333333,0.960221,0.000000,0.981183
28,symlink attack in installer cleanup routine,25,-0.816667,0.000000,0.593407,-0.666667,0.000000,0.461538,0.656912,1.000000,0.952303
29,improper certificate validation in mobile banking application,25,0.998246,0.992982,0.996923,0.988304,0.953216,0.973333,0.999907,0.999661,0.999797
30,sandbox escape in browser extension messaging interface,25,0.999231,0.993913,0.996522,0.993333,0.971014,0.978261,0.999978,0.999834,0.999904
31,server-side request forgery SSRF in URL preview feature,25,0.934066,0.994505,0.998261,0.890110,0.974359,0.985507,0.992997,0.999727,0.999802
32,null pointer dereference in Bluetooth service,25,0.000000,0.000000,0.564286,0.000000,0.000000,0.485714,1.000000,0.000000,0.956253
33,insecure default permissions in container runtime socket,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
34,cross-site request forgery CSRF in admin password change form,25,-0.300000,-1.000000,0.318681,-0.200000,-1.000000,0.230769,0.489865,0.577882,0.946275
35,business logic bypass in coupon redemption API,25,0.456044,0.000000,0.833333,0.538462,0.000000,0.642857,0.680226,0.430677,0.936699
36,denial of service via malformed network packets,25,1.000000,0.000000,-0.161765,1.000000,0.000000,-0.102941,0.887224,0.215338,0.841053
37,XML external entity XXE injection in SOAP parser,25,0.000000,0.000000,0.544118,0.000000,0.000000,0.411765,0.500000,0.000000,0.949729
38,improper input validation in SAML assertion processing,25,0.998871,0.992095,0.996923,0.991342,0.956710,0.973333,0.999946,0.999665,0.999852
39,request smuggling in reverse proxy parser,25,0.999012,0.991107,0.993846,0.992095,0.952569,0.966667,0.999960,0.998468,0.999038
40,OS command injection in diagnostic CGI script,25,1.000000,0.998024,0.998261,1.000000,0.984190,0.985507,1.000000,0.999920,0.999922
41,privilege escalation via writable system service configuration,25,1.000000,0.987616,0.995385,1.000000,0.934641,0.966667,1.000000,0.999544,0.999637
42,integer overflow leading to heap corruption in video codec,25,0.983077,0.994783,0.996522,0.953333,0.963768,0.971014,0.999461,0.999605,0.999657
43,sensitive information disclosure in cloud metadata service,25,0.998701,0.994805,0.997692,0.990476,0.971429,0.986667,0.999961,0.999868,0.999918
44,open redirect in single sign-on logout flow,25,0.000000,0.000000,0.573529,0.000000,0.000000,0.397059,0.227670,0.000000,0.918691
45,buffer underflow in font parsing component,25,0.000000,0.000000,0.178022,0.000000,0.000000,0.120879,0.000000,0.000000,0.911811
46,path canonicalization bypass in file download servlet,25,1.000000,0.996923,0.996923,1.000000,0.973333,0.973333,1.000000,0.999706,0.999706
47,arbitrary file upload leading to remote code execution,25,0.079463,0.200000,0.950000,0.163399,0.200000,0.833333,0.823693,0.908950,0.986481
48,authorization bypass in GraphQL mutation resolver,25,0.999130,0.996522,0.998462,0.992754,0.978261,0.986667,0.999967,0.999883,0.999948
49,out-of-bounds read in PDF rendering engine,25,0.961538,0.993007,0.998261,0.897436,0.969697,0.985507,0.997072,0.999861,0.999930
50,authentication brute force due to missing rate limiting,25,-1.000000,0.000000,0.797802,-1.000000,0.000000,0.670330,0.466451,0.000000,0.960281
