query_id,query_text,tau_method,traditional_recall,semantic_recall,tolerant_recall,n_semantic_neighbors,tolerance_pct_used,tolerant_minus_traditional
1,integer overflow leading to heap corruption in video codec,Cosine,1.000000,1.000000,1.000000,7,0.2702,0.000000
1,integer overflow leading to heap corruption in video codec,Hybrid,0.920000,0.857143,1.000000,7,0.2702,0.080000
1,integer overflow leading to heap corruption in video codec,Taumode,0.920000,0.857143,1.000000,7,0.2702,0.080000
2,symlink attack in installer cleanup routine,Cosine,1.000000,1.000000,1.000000,7,0.5424,0.000000
2,symlink attack in installer cleanup routine,Hybrid,0.960000,0.857143,1.000000,7,0.5424,0.040000
2,symlink attack in installer cleanup routine,Taumode,0.920000,0.714286,1.000000,7,0.5424,0.080000
3,privilege escalation via writable system service configuration,Cosine,1.000000,1.000000,1.000000,7,0.6266,0.000000
3,privilege escalation via writable system service configuration,Hybrid,0.200000,0.142857,1.000000,7,0.6266,0.800000
3,privilege escalation via writable system service configuration,Taumode,0.000000,0.000000,1.000000,7,0.6266,1.000000
4,memory disclosure via uninitialized stack buffer,Cosine,1.000000,1.000000,1.000000,7,0.2884,0.000000
4,memory disclosure via uninitialized stack buffer,Hybrid,0.040000,0.000000,1.000000,7,0.2884,0.960000
4,memory disclosure via uninitialized stack buffer,Taumode,0.000000,0.000000,1.000000,7,0.2884,1.000000
5,buffer underflow in font parsing component,Cosine,1.000000,1.000000,1.000000,7,0.3891,0.000000
5,buffer underflow in font parsing component,Hybrid,0.280000,0.714286,1.000000,7,0.3891,0.720000
5,buffer underflow in font parsing component,Taumode,0.120000,0.285714,1.000000,7,0.3891,0.880000
6,out-of-bounds read in PDF rendering engine,Cosine,1.000000,1.000000,1.000000,7,0.3688,0.000000
6,out-of-bounds read in PDF rendering engine,Hybrid,0.920000,1.000000,1.000000,7,0.3688,0.080000
6,out-of-bounds read in PDF rendering engine,Taumode,0.920000,1.000000,1.000000,7,0.3688,0.080000
7,LDAP injection in enterprise directory search feature,Cosine,1.000000,1.000000,1.000000,7,0.3296,0.000000
7,LDAP injection in enterprise directory search feature,Hybrid,0.680000,0.857143,1.000000,7,0.3296,0.320000
7,LDAP injection in enterprise directory search feature,Taumode,0.680000,0.857143,1.000000,7,0.3296,0.320000
8,local privilege escalation via race condition in kernel,Cosine,1.000000,1.000000,1.000000,7,0.2390,0.000000
8,local privilege escalation via race condition in kernel,Hybrid,0.040000,0.000000,1.000000,7,0.2390,0.960000
8,local privilege escalation via race condition in kernel,Taumode,0.000000,0.000000,1.000000,7,0.2390,1.000000
9,host header injection in password reset workflow,Cosine,1.000000,1.000000,1.000000,7,0.3124,0.000000
9,host header injection in password reset workflow,Hybrid,0.720000,0.714286,1.000000,7,0.3124,0.280000
9,host header injection in password reset workflow,Taumode,0.720000,0.714286,1.000000,7,0.3124,0.280000
10,insecure direct object reference IDOR in invoice download,Cosine,1.000000,1.000000,1.000000,7,0.1570,0.000000
10,insecure direct object reference IDOR in invoice download,Hybrid,0.080000,0.142857,1.000000,7,0.1570,0.920000
10,insecure direct object reference IDOR in invoice download,Taumode,0.000000,0.000000,1.000000,7,0.1570,1.000000
11,sensitive information disclosure in cloud metadata service,Cosine,1.000000,1.000000,1.000000,7,0.2533,0.000000
11,sensitive information disclosure in cloud metadata service,Hybrid,0.000000,0.000000,0.040000,7,0.2533,0.040000
11,sensitive information disclosure in cloud metadata service,Taumode,0.000000,0.000000,0.640000,7,0.2533,0.640000
12,unsafe deserialization in Java RMI service,Cosine,1.000000,1.000000,1.000000,7,0.2304,0.000000
12,unsafe deserialization in Java RMI service,Hybrid,0.200000,0.285714,1.000000,7,0.2304,0.800000
12,unsafe deserialization in Java RMI service,Taumode,0.080000,0.000000,1.000000,7,0.2304,0.920000
13,improper certificate validation in mobile banking application,Cosine,1.000000,1.000000,1.000000,7,0.3513,0.000000
13,improper certificate validation in mobile banking application,Hybrid,0.080000,0.142857,0.960000,7,0.3513,0.880000
13,improper certificate validation in mobile banking application,Taumode,0.040000,0.142857,1.000000,7,0.3513,0.960000
14,race condition in temporary file creation,Cosine,1.000000,1.000000,1.000000,7,0.3035,0.000000
14,race condition in temporary file creation,Hybrid,0.760000,0.428571,1.000000,7,0.3035,0.240000
14,race condition in temporary file creation,Taumode,0.760000,0.428571,1.000000,7,0.3035,0.240000
15,path canonicalization bypass in file download servlet,Cosine,1.000000,1.000000,1.000000,7,0.3843,0.000000
15,path canonicalization bypass in file download servlet,Hybrid,0.520000,0.714286,1.000000,7,0.3843,0.480000
15,path canonicalization bypass in file download servlet,Taumode,0.480000,0.714286,1.000000,7,0.3843,0.520000
16,sandbox escape in browser extension messaging interface,Cosine,1.000000,1.000000,1.000000,7,0.4475,0.000000
16,sandbox escape in browser extension messaging interface,Hybrid,0.520000,1.000000,1.000000,7,0.4475,0.480000
16,sandbox escape in browser extension messaging interface,Taumode,0.040000,0.000000,1.000000,7,0.4475,0.960000
17,prototype pollution in Node.js configuration merge utility,Cosine,1.000000,1.000000,1.000000,7,0.2080,0.000000
17,prototype pollution in Node.js configuration merge utility,Hybrid,0.920000,1.000000,1.000000,7,0.2080,0.080000
17,prototype pollution in Node.js configuration merge utility,Taumode,0.920000,1.000000,1.000000,7,0.2080,0.080000
18,request smuggling in reverse proxy parser,Cosine,1.000000,1.000000,1.000000,7,0.2647,0.000000
18,request smuggling in reverse proxy parser,Hybrid,1.000000,1.000000,1.000000,7,0.2647,0.000000
18,request smuggling in reverse proxy parser,Taumode,0.960000,1.000000,1.000000,7,0.2647,0.040000
19,insecure default permissions in container runtime socket,Cosine,1.000000,1.000000,1.000000,7,0.1580,0.000000
19,insecure default permissions in container runtime socket,Hybrid,0.880000,0.714286,1.000000,7,0.1580,0.120000
19,insecure default permissions in container runtime socket,Taumode,0.880000,0.714286,1.000000,7,0.1580,0.120000
20,heap use-after-free in media streaming server,Cosine,1.000000,1.000000,1.000000,7,0.2800,0.000000
20,heap use-after-free in media streaming server,Hybrid,0.040000,0.000000,1.000000,7,0.2800,0.960000
20,heap use-after-free in media streaming server,Taumode,0.000000,0.000000,1.000000,7,0.2800,1.000000
21,business logic bypass in coupon redemption API,Cosine,1.000000,1.000000,1.000000,7,0.3128,0.000000
21,business logic bypass in coupon redemption API,Hybrid,0.840000,0.714286,1.000000,7,0.3128,0.160000
21,business logic bypass in coupon redemption API,Taumode,0.840000,0.714286,1.000000,7,0.3128,0.160000
22,heap buffer overflow in image processing library,Cosine,1.000000,1.000000,1.000000,7,0.3427,0.000000
22,heap buffer overflow in image processing library,Hybrid,0.040000,0.000000,1.000000,7,0.3427,0.960000
22,heap buffer overflow in image processing library,Taumode,0.000000,0.000000,1.000000,7,0.3427,1.000000
23,double free vulnerability in archive extraction library,Cosine,1.000000,1.000000,1.000000,7,0.4655,0.000000
