tau,metric,value,reference_tau,reference_value,raw_delta,directional_delta,direction
0.4,ndcg,0.4196376436913878,1.0,0.45535633781059737,-0.03571869411920958,-0.03571869411920958,higher_is_better
0.5,ndcg,0.44440846327163286,1.0,0.45535633781059737,-0.010947874538964508,-0.010947874538964508,higher_is_better
0.55,ndcg,0.45361776581049285,1.0,0.45535633781059737,-0.0017385720001045213,-0.0017385720001045213,higher_is_better
0.6,ndcg,0.4582024197237621,1.0,0.45535633781059737,0.002846081913164711,0.002846081913164711,higher_is_better
0.65,ndcg,0.46483568327019986,1.0,0.45535633781059737,0.009479345459602495,0.009479345459602495,higher_is_better
0.7,ndcg,0.4668049069423323,1.0,0.45535633781059737,0.01144856913173492,0.01144856913173492,higher_is_better
0.8,ndcg,0.46623594056174256,1.0,0.45535633781059737,0.01087960275114519,0.01087960275114519,higher_is_better
1.0,ndcg,0.45535633781059737,1.0,0.45535633781059737,0.0,0.0,higher_is_better
0.4,relevance_recall,0.4780000000000001,1.0,0.508,-0.029999999999999916,-0.029999999999999916,higher_is_better
0.5,relevance_recall,0.5000000000000001,1.0,0.508,-0.007999999999999896,-0.007999999999999896,higher_is_better
0.55,relevance_recall,0.5060000000000001,1.0,0.508,-0.0019999999999998908,-0.0019999999999998908,higher_is_better
0.6,relevance_recall,0.51,1.0,0.508,0.0020000000000000018,0.0020000000000000018,higher_is_better
0.65,relevance_recall,0.522,1.0,0.508,0.014000000000000012,0.014000000000000012,higher_is_better
0.7,relevance_recall,0.52,1.0,0.508,0.01200000000000001,0.01200000000000001,higher_is_better
0.8,relevance_recall,0.522,1.0,0.508,0.014000000000000012,0.014000000000000012,higher_is_better
1.0,relevance_recall,0.508,1.0,0.508,0.0,0.0,higher_is_better
0.4,traditional_recall,0.6659999999999999,1.0,1.0,-0.3340000000000001,-0.3340000000000001,higher_is_better
0.5,traditional_recall,0.71,1.0,1.0,-0.29000000000000004,-0.29000000000000004,higher_is_better
0.55,traditional_recall,0.732,1.0,1.0,-0.268,-0.268,higher_is_better
0.6,traditional_recall,0.754,1.0,1.0,-0.246,-0.246,higher_is_better
0.65,traditional_recall,0.7839999999999999,1.0,1.0,-0.21600000000000008,-0.21600000000000008,higher_is_better
