tau,metric,mean,std_dev,ci95,n_queries
0.4,traditional_recall,0.6659999999999999,0.28038603126869965,0.0777190427115517,50
0.4,semantic_recall,0.6466666666666667,0.37742413753208304,0.10461663347670866,50
0.4,tolerant_recall,1.0,0.0,0.0,50
0.4,semantic_uplift_internal,0.33399999999999996,0.2803860312686997,0.07771904271155171,50
0.4,semantic_uplift_qrel,0.5219999999999999,0.30923869652514613,0.0857165934927421,50
0.5,traditional_recall,0.71,0.2525381361380527,0.07,50
0.5,semantic_recall,0.7133333333333333,0.35641195049836627,0.098792352380581,50
0.5,tolerant_recall,0.996,0.028284271247461898,0.007839999999999998,50
0.5,semantic_uplift_internal,0.286,0.24244502848426217,0.06720233329282548,50
0.5,semantic_uplift_qrel,0.49599999999999994,0.3043628339562463,0.08436507334199385,50
0.55,traditional_recall,0.732,0.23250192011495918,0.06444624426605479,50
0.55,semantic_recall,0.7316666666666667,0.3455622451977681,0.09578496750534499,50
0.55,tolerant_recall,0.998,0.014142135623730949,0.003919999999999999,50
0.55,semantic_uplift_internal,0.26599999999999996,0.22732696940840116,0.06301182111318479,50
0.55,semantic_uplift_qrel,0.49199999999999994,0.3122270236313864,0.08654491550634272,50
0.6,traditional_recall,0.754,0.22516207314659692,0.062411742484888205,50
0.6,semantic_recall,0.7716666666666666,0.31443448859666717,0.08715679357724597,50
0.6,tolerant_recall,0.9919999999999999,0.044446711960297286,0.012320000000000003,50
0.6,semantic_uplift_internal,0.23799999999999996,0.2117854131532429,0.05870392150444465,50
0.6,semantic_uplift_qrel,0.4819999999999999,0.3274452750663312,0.09076319959102366,50
0.65,traditional_recall,0.7839999999999999,0.21030589965231936,0.058293821284935494,50
0.65,semantic_recall,0.8399999999999999,0.2796174905886324,0.07750601410356633,50
0.65,tolerant_recall,0.992,0.05656854249492382,0.015680000000000003,50
0.65,semantic_uplift_internal,0.20800000000000002,0.19042380231944725,0.05278278507240784,50
0.65,semantic_uplift_qrel,0.46999999999999986,0.32779411158810756,0.09085989214169252,50
0.7,traditional_recall,0.8059999999999999,0.18561535826673878,0.05144995238093034,50
0.7,semantic_recall,0.8599999999999999,0.2527849417140381,0.07006841101539427,50
0.7,tolerant_recall,0.99,0.07071067811865474,0.019599999999999996,50
0.7,semantic_uplift_internal,0.184,0.16457738084473908,0.04561852255389251,50
0.7,semantic_uplift_qrel,0.4699999999999999,0.3284161123592185,0.09103230195924959,50
0.8,traditional_recall,0.8439999999999999,0.14730227148171704,0.04083010653917033,50
0.8,semantic_recall,0.9133333333333333,0.19988658916014626,0.05540573576404843,50
0.8,tolerant_recall,0.99,0.05802884574739971,0.016084775410306475,50
0.8,semantic_uplift_internal,0.146,0.1312576528381162,0.03638276515054896,50
0.8,semantic_uplift_qrel,0.46799999999999997,0.32603993745602167,0.09037365987941397,50
1.0,traditional_recall,1.0,0.0,0.0,50
1.0,semantic_recall,1.0,0.0,0.0,50
1.0,tolerant_recall,1.0,0.0,0.0,50
1.0,semantic_uplift_internal,0.0,0.0,0.0,50
1.0,semantic_uplift_qrel,0.49199999999999994,0.31287997307437304,0.0867259038580746,50
