tau,metric,mean,std_dev,ci95,n_queries
0.4,tail_to_head_ratio,0.9800895687177058,0.0124984120418682,0.0034643830682764944,50
0.4,tail_cv,0.004592751131806864,0.002212250360850719,0.0006132045148812525,50
0.4,tail_decay,0.0016474744983627496,0.0007233737476245311,0.0002005089730528318,50
0.5,tail_to_head_ratio,0.975317151787956,0.0153885916265571,0.004265499976883227,50
0.5,tail_cv,0.006039793808843715,0.0028481432249554224,0.0007894650241573486,50
0.5,tail_decay,0.002179170036886276,0.0009557825413127954,0.00026492940399037973,50
0.55,tail_to_head_ratio,0.9731918256007874,0.016634087211239754,0.004610733739439095,50
0.55,tail_cv,0.0067982668885173715,0.0030451573811708706,0.0008440745621304267,50
0.55,tail_decay,0.0024303747892076037,0.0010344149796082255,0.00028672520388363284,50
0.6,tail_to_head_ratio,0.9708592641445312,0.017959786852872313,0.004978198932353758,50
0.6,tail_cv,0.007588999461894606,0.00322364162535129,0.0008935478705332394,50
0.6,tail_decay,0.0026676592891601647,0.0011118481062502338,0.00030818857154695276,50
0.65,tail_to_head_ratio,0.968569495203471,0.019430630291895526,0.005385895933314204,50
0.65,tail_cv,0.008189428087105292,0.0037036847750040254,0.0010266090429548256,50
0.65,tail_decay,0.002829043879678718,0.0012543244511725071,0.0003476809994910123,50
0.7,tail_to_head_ratio,0.9661578774118559,0.02080738694740698,0.005767513408439301,50
0.7,tail_cv,0.008855928317772467,0.0038777891952906747,0.0010748683261127688,50
0.7,tail_decay,0.002963738541648935,0.0012380088805744056,0.0003431585540523449,50
0.8,tail_to_head_ratio,0.9607023602469624,0.02337351444161576,0.006478807660236655,50
0.8,tail_cv,0.010490578442450675,0.004380525566283024,0.0012142197385672686,50
0.8,tail_decay,0.003381084924268874,0.001318823784174688,0.0003655593024641701,50
1.0,tail_to_head_ratio,0.9486224857953602,0.02881096057852758,0.007985990834249458,50
1.0,tail_cv,0.01361748303069831,0.005824300777258776,0.001614413809505746,50
1.0,tail_decay,0.004203326840323453,0.0018357306879402424,0.0005088385862069181,50
