tau,metric,win_score
0.4,ndcg,-1
0.5,ndcg,-1
0.55,ndcg,-1
0.6,ndcg,1
0.65,ndcg,1
0.7,ndcg,1
0.8,ndcg,1
1.0,ndcg,0
0.4,relevance_recall,-1
0.5,relevance_recall,-1
0.55,relevance_recall,-1
0.6,relevance_recall,1
0.65,relevance_recall,1
0.7,relevance_recall,1
0.8,relevance_recall,1
1.0,relevance_recall,0
0.4,traditional_recall,-1
0.5,traditional_recall,-1
0.55,traditional_recall,-1
0.6,traditional_recall,-1
0.65,traditional_recall,-1
0.7,traditional_recall,-1
0.8,traditional_recall,-1
1.0,traditional_recall,0
0.4,semantic_recall,-1
0.5,semantic_recall,-1
0.55,semantic_recall,-1
0.6,semantic_recall,-1
0.65,semantic_recall,-1
0.7,semantic_recall,-1
0.8,semantic_recall,-1
1.0,semantic_recall,0
0.4,tolerant_recall,0
0.5,tolerant_recall,-1
0.55,tolerant_recall,-1
0.6,tolerant_recall,-1
0.65,tolerant_recall,-1
0.7,tolerant_recall,-1
0.8,tolerant_recall,-1
1.0,tolerant_recall,0
0.4,semantic_uplift_internal,1
0.5,semantic_uplift_internal,1
0.55,semantic_uplift_internal,1
0.6,semantic_uplift_internal,1
0.65,semantic_uplift_internal,1
0.7,semantic_uplift_internal,1
0.8,semantic_uplift_internal,1
1.0,semantic_uplift_internal,0
0.4,semantic_uplift_qrel,1
0.5,semantic_uplift_qrel,1
0.55,semantic_uplift_qrel,0
0.6,semantic_uplift_qrel,-1
0.65,semantic_uplift_qrel,-1
0.7,semantic_uplift_qrel,-1
0.8,semantic_uplift_qrel,-1
1.0,semantic_uplift_qrel,0
0.4,tail_to_head_ratio,1
0.5,tail_to_head_ratio,1
0.55,tail_to_head_ratio,1
0.6,tail_to_head_ratio,1
0.65,tail_to_head_ratio,1
0.7,tail_to_head_ratio,1
0.8,tail_to_head_ratio,1
1.0,tail_to_head_ratio,0
0.4,tail_cv,1
0.5,tail_cv,1
0.55,tail_cv,1
0.6,tail_cv,1
0.65,tail_cv,1
0.7,tail_cv,1
0.8,tail_cv,1
1.0,tail_cv,0
0.4,tail_decay,1
0.5,tail_decay,1
0.55,tail_decay,1
0.6,tail_decay,1
0.65,tail_decay,1
0.7,tail_decay,1
0.8,tail_decay,1
1.0,tail_decay,0
