metric,tau,wins
ndcg,0.4,8.735714285714284
ndcg,0.5,4.735714285714285
ndcg,0.55,2.9023809523809527
ndcg,0.6,4.852380952380953
ndcg,0.65,4.602380952380953
ndcg,0.7,4.902380952380952
ndcg,0.8,7.402380952380953
ndcg,1.0,11.866666666666665
relevance_recall,0.4,5.863095238095238
relevance_recall,0.5,5.5059523809523805
relevance_recall,0.55,5.039285714285714
relevance_recall,0.6,5.239285714285714
relevance_recall,0.65,6.655952380952382
relevance_recall,0.7,5.822619047619048
relevance_recall,0.8,7.322619047619049
relevance_recall,1.0,8.551190476190476
tail_to_head_ratio,0.4,47.0
tail_to_head_ratio,0.5,0.0
tail_to_head_ratio,0.55,0.0
tail_to_head_ratio,0.6,1.0
tail_to_head_ratio,0.65,1.0
tail_to_head_ratio,0.7,0.0
tail_to_head_ratio,0.8,1.0
tail_to_head_ratio,1.0,0.0
tail_cv,0.4,45.0
tail_cv,0.5,2.0
tail_cv,0.55,0.0
tail_cv,0.6,0.0
tail_cv,0.65,2.0
tail_cv,0.7,1.0
tail_cv,0.8,0.0
tail_cv,1.0,0.0
tail_decay,0.4,45.0
tail_decay,0.5,0.0
tail_decay,0.55,2.0
tail_decay,0.6,0.0
tail_decay,0.65,2.0
tail_decay,0.7,1.0
tail_decay,0.8,0.0
tail_decay,1.0,0.0
tolerant_recall,0.4,6.660714285714286
tolerant_recall,0.5,6.160714285714286
tolerant_recall,0.55,6.160714285714286
tolerant_recall,0.6,6.017857142857142
tolerant_recall,0.65,6.160714285714286
tolerant_recall,0.7,6.160714285714286
tolerant_recall,0.8,6.017857142857142
tolerant_recall,1.0,6.660714285714286
semantic_uplift_internal,0.4,23.676190476190474
semantic_uplift_internal,0.5,7.6761904761904765
semantic_uplift_internal,0.55,6.176190476190477
semantic_uplift_internal,0.6,4.1761904761904765
semantic_uplift_internal,0.65,2.6761904761904756
semantic_uplift_internal,0.7,2.4761904761904754
semantic_uplift_internal,0.8,2.142857142857143
semantic_uplift_internal,1.0,1.0
semantic_uplift_qrel,0.4,11.828571428571431
semantic_uplift_qrel,0.5,4.804761904761905
semantic_uplift_qrel,0.55,5.4714285714285715
semantic_uplift_qrel,0.6,4.995238095238095
semantic_uplift_qrel,0.65,3.938095238095238
semantic_uplift_qrel,0.7,4.138095238095238
semantic_uplift_qrel,0.8,4.938095238095238
semantic_uplift_qrel,1.0,9.885714285714286
semantic_recall,0.4,2.75
semantic_recall,0.5,3.321428571428571
semantic_recall,0.55,3.4880952380952377
semantic_recall,0.6,3.8880952380952376
semantic_recall,0.65,5.3880952380952385
semantic_recall,0.7,5.7214285714285715
semantic_recall,0.8,7.721428571428572
semantic_recall,1.0,17.721428571428568
