query_id,metric,winner
1,tail_to_head_ratio,Taumode
1,tail_cv,Taumode
1,tail_decay,Taumode
1,semantic_recall,Cosine
1,tolerant_recall,Cosine
2,tail_to_head_ratio,Taumode
2,tail_cv,Taumode
2,tail_decay,Taumode
2,semantic_recall,Cosine
2,tolerant_recall,Cosine
3,tail_to_head_ratio,Taumode
3,tail_cv,Hybrid
3,tail_decay,Hybrid
3,semantic_recall,Cosine
3,tolerant_recall,Cosine
4,tail_to_head_ratio,Taumode
4,tail_cv,Taumode
4,tail_decay,Taumode
4,semantic_recall,Cosine
4,tolerant_recall,Cosine
5,tail_to_head_ratio,Taumode
5,tail_cv,Taumode
5,tail_decay,Taumode
5,semantic_recall,Cosine
5,tolerant_recall,Cosine
6,tail_to_head_ratio,Taumode
6,tail_cv,Taumode
6,tail_decay,Taumode
6,semantic_recall,Cosine
6,tolerant_recall,Cosine
7,tail_to_head_ratio,Taumode
7,tail_cv,Taumode
7,tail_decay,Taumode
7,semantic_recall,Cosine
7,tolerant_recall,Cosine
8,tail_to_head_ratio,Taumode
8,tail_cv,Taumode
8,tail_decay,Taumode
8,semantic_recall,Cosine
8,tolerant_recall,Cosine
9,tail_to_head_ratio,Taumode
9,tail_cv,Taumode
9,tail_decay,Taumode
9,semantic_recall,Cosine
9,tolerant_recall,Cosine
10,tail_to_head_ratio,Taumode
10,tail_cv,Hybrid
10,tail_decay,Hybrid
10,semantic_recall,Cosine
10,tolerant_recall,Cosine
11,tail_to_head_ratio,Taumode
11,tail_cv,Taumode
11,tail_decay,Taumode
11,semantic_recall,Cosine
11,tolerant_recall,Cosine
12,tail_to_head_ratio,Taumode
12,tail_cv,Taumode
12,tail_decay,Taumode
12,semantic_recall,Cosine
12,tolerant_recall,Cosine
13,tail_to_head_ratio,Taumode
13,tail_cv,Taumode
13,tail_decay,Taumode
13,semantic_recall,Cosine
13,tolerant_recall,Cosine
14,tail_to_head_ratio,Taumode
14,tail_cv,Taumode
14,tail_decay,Taumode
14,semantic_recall,Cosine
14,tolerant_recall,Cosine
15,tail_to_head_ratio,Taumode
15,tail_cv,Taumode
