query_id,query_text,tau_method,traditional_recall,semantic_recall,tolerant_recall,n_semantic_neighbors,tolerance_pct_used,semantic_minus_traditional
1,directory traversal in backup restore endpoint,Cosine,1.000000,1.000000,1.000000,7,0.3891,0.000000
1,directory traversal in backup restore endpoint,Hybrid,0.280000,0.714286,1.000000,7,0.3891,0.434286
1,directory traversal in backup restore endpoint,Taumode,0.120000,0.285714,1.000000,7,0.3891,0.165714
2,improper signature verification in software update channel,Cosine,1.000000,1.000000,1.000000,7,0.2176,0.000000
2,improper signature verification in software update channel,Hybrid,0.080000,0.000000,1.000000,7,0.2176,-0.080000
2,improper signature verification in software update channel,Taumode,0.000000,0.000000,1.000000,7,0.2176,0.000000
3,stack-based buffer overflow in DHCP client,Cosine,1.000000,1.000000,1.000000,7,0.6182,0.000000
3,stack-based buffer overflow in DHCP client,Hybrid,1.000000,1.000000,1.000000,7,0.6182,0.000000
3,stack-based buffer overflow in DHCP client,Taumode,0.960000,1.000000,1.000000,7,0.6182,0.040000
4,local privilege escalation via race condition in kernel,Cosine,1.000000,1.000000,1.000000,7,0.2151,0.000000
4,local privilege escalation via race condition in kernel,Hybrid,0.920000,1.000000,1.000000,7,0.2151,0.080000
4,local privilege escalation via race condition in kernel,Taumode,0.880000,0.857143,1.000000,7,0.2151,-0.022857
5,stored cross-site scripting XSS in user profile page,Cosine,1.000000,1.000000,1.000000,7,0.2682,0.000000
5,stored cross-site scripting XSS in user profile page,Hybrid,0.040000,0.000000,1.000000,7,0.2682,-0.040000
5,stored cross-site scripting XSS in user profile page,Taumode,0.000000,0.000000,1.000000,7,0.2682,0.000000
6,heap buffer overflow in image processing library,Cosine,1.000000,1.000000,1.000000,7,0.2446,0.000000
6,heap buffer overflow in image processing library,Hybrid,0.960000,1.000000,1.000000,7,0.2446,0.040000
6,heap buffer overflow in image processing library,Taumode,0.960000,1.000000,1.000000,7,0.2446,0.040000
7,use-after-free vulnerability in browser rendering engine,Cosine,1.000000,1.000000,1.000000,7,0.2390,0.000000
7,use-after-free vulnerability in browser rendering engine,Hybrid,0.040000,0.000000,1.000000,7,0.2390,-0.040000
7,use-after-free vulnerability in browser rendering engine,Taumode,0.000000,0.000000,1.000000,7,0.2390,0.000000
8,improper access control in REST API DELETE method,Cosine,1.000000,1.000000,1.000000,7,0.2930,0.000000
8,improper access control in REST API DELETE method,Hybrid,0.000000,0.000000,0.520000,7,0.2930,0.000000
8,improper access control in REST API DELETE method,Taumode,0.000000,0.000000,1.000000,7,0.2930,0.000000
9,format string vulnerability in logging daemon,Cosine,1.000000,1.000000,1.000000,7,0.8526,0.000000
9,format string vulnerability in logging daemon,Hybrid,0.240000,0.428571,1.000000,7,0.8526,0.188571
9,format string vulnerability in logging daemon,Taumode,0.080000,0.000000,1.000000,7,0.8526,-0.080000
10,SQL injection in login endpoint,Cosine,1.000000,1.000000,1.000000,7,0.4099,0.000000
10,SQL injection in login endpoint,Hybrid,0.880000,1.000000,1.000000,7,0.4099,0.120000
10,SQL injection in login endpoint,Taumode,0.840000,0.857143,1.000000,7,0.4099,0.017143
11,LDAP injection in enterprise directory search feature,Cosine,1.000000,1.000000,1.000000,7,0.1520,0.000000
11,LDAP injection in enterprise directory search feature,Hybrid,0.880000,1.000000,1.000000,7,0.1520,0.120000
11,LDAP injection in enterprise directory search feature,Taumode,0.880000,1.000000,1.000000,7,0.1520,0.120000
12,race condition in temporary file creation,Cosine,1.000000,1.000000,1.000000,7,0.2702,0.000000
12,race condition in temporary file creation,Hybrid,0.920000,0.857143,1.000000,7,0.2702,-0.062857
12,race condition in temporary file creation,Taumode,0.920000,0.857143,1.000000,7,0.2702,-0.062857
13,improper neutralization of CRLF in mail gateway,Cosine,1.000000,1.000000,1.000000,7,0.6266,0.000000
13,improper neutralization of CRLF in mail gateway,Hybrid,0.200000,0.142857,1.000000,7,0.6266,-0.057143
13,improper neutralization of CRLF in mail gateway,Taumode,0.000000,0.000000,1.000000,7,0.6266,0.000000
14,NoSQL injection in user search API,Cosine,1.000000,1.000000,1.000000,7,0.2800,0.000000
14,NoSQL injection in user search API,Hybrid,0.040000,0.000000,1.000000,7,0.2800,-0.040000
14,NoSQL injection in user search API,Taumode,0.000000,0.000000,1.000000,7,0.2800,0.000000
15,prototype pollution in Node.js configuration merge utility,Cosine,1.000000,1.000000,1.000000,7,0.5424,0.000000
15,prototype pollution in Node.js configuration merge utility,Hybrid,0.960000,0.857143,1.000000,7,0.5424,-0.102857
15,prototype pollution in Node.js configuration merge utility,Taumode,0.920000,0.714286,1.000000,7,0.5424,-0.205714
16,host header injection in password reset workflow,Cosine,1.000000,1.000000,1.000000,7,0.2792,0.000000
16,host header injection in password reset workflow,Hybrid,0.920000,0.857143,1.000000,7,0.2792,-0.062857
16,host header injection in password reset workflow,Taumode,0.920000,0.857143,1.000000,7,0.2792,-0.062857
17,heap use-after-free in media streaming server,Cosine,1.000000,1.000000,1.000000,7,0.2533,0.000000
17,heap use-after-free in media streaming server,Hybrid,0.000000,0.000000,0.040000,7,0.2533,0.000000
17,heap use-after-free in media streaming server,Taumode,0.000000,0.000000,0.640000,7,0.2533,0.000000
18,hardcoded credentials in firmware update mechanism,Cosine,1.000000,1.000000,1.000000,7,0.5816,0.000000
18,hardcoded credentials in firmware update mechanism,Hybrid,0.560000,1.000000,1.000000,7,0.5816,0.440000
